"","year","title","runtimeMinutes","genres","genre1","genre2","genre3","averageRating","numVotes","rating","full_pass","mostly_pass","romance","horror","comedy","mystery","drama","fantasy","thriller","adventure","crime","action","other_genre"
"29",2020,"Hamilton","160","Biography,Drama,History","Biography","Drama","History","8.5",56752,3,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"30",2020,"Happiest Season","102","Comedy,Drama,Romance","Comedy","Drama","Romance","6.7",26004,3,1,1,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"31",2020,"Herself","97","Drama","Drama",NA,NA,"7.0",1420,3,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"32",2020,"High Note, The","113","Drama,Music,Romance","Drama","Music","Romance","6.4",6479,3,1,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"33",2020,"Honey Boy","94","Drama","Drama",NA,NA,"7.3",28402,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"34",2020,"Horse Girl","103","Drama,Mystery,Thriller","Drama","Mystery","Thriller","5.9",14553,3,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"35",2020,"Host","57","Horror,Mystery","Horror","Mystery",NA,"6.6",15504,3,1,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"36",2020,"Hunt, The","90","Action,Horror,Thriller","Action","Horror","Thriller","6.5",68756,3,1,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"37",2020,"I Care a Lot","118","Comedy,Crime,Thriller","Comedy","Crime","Thriller","6.4",266,3,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"38",2020,"I&#39;m Your Woman","120","Crime,Drama","Crime","Drama",NA,"6.2",5533,3,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"39",2020,"Infamous","100","Crime,Drama,Romance","Crime","Drama","Romance","4.0",2026,3,1,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"40",2020,"Invisible Man, The","124","Drama,Horror,Mystery","Drama","Horror","Mystery","7.1",168286,3,1,1,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"41",2020,"Jiu Jitsu","102","Action,Comedy,Fantasy","Action","Comedy","Fantasy","2.9",4208,1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"42",2020,"King of Staten Island, The","136","Comedy,Drama","Comedy","Drama",NA,"7.1",38723,3,1,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"43",2020,"last days of american crime, The","148","Action,Crime,Drama","Action","Crime","Drama","3.7",9555,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"44",2020,"Legacy of Lies","101","Action,Thriller","Action","Thriller",NA,"5.0",1906,3,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"45",2020,"Like a Boss","83","Comedy","Comedy",NA,NA,"4.6",10310,3,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"46",2020,"Lost Girls","95","Drama,Mystery,Thriller","Drama","Mystery","Thriller","6.1",16839,3,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"47",2020,"Lost Husband, The","109","Drama,Romance","Drama","Romance",NA,"6.0",3367,3,1,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"48",2020,"Ludo","150","Action,Comedy,Crime","Action","Comedy","Crime","7.6",28182,3,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"49",2020,"Ma Rainey&#39;s Black Bottom","94","Drama,Music","Drama","Music",NA,"7.1",22501,3,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"50",2020,"Mank","131","Biography,Comedy,Drama","Biography","Comedy","Drama","7.1",37823,1,0,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"51",2020,"Marijuana Conspiracy , The","124","Drama","Drama",NA,NA,"7.2",13,3,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"52",2020,"Midnight Sky, The","118","Drama,Fantasy,Sci-Fi","Drama","Fantasy","Sci-Fi","5.6",65251,3,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"53",2020,"Minari","115","Drama","Drama",NA,NA,"7.7",5966,3,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"54",2020,"Monster Hunter","99","Action,Adventure,Fantasy","Action","Adventure","Fantasy","5.3",4711,3,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"55",2020,"Mulan","115","Action,Adventure,Drama","Action","Adventure","Drama","5.6",110190,3,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
"56",2020,"My Spy","99","Action,Comedy","Action","Comedy",NA,"6.3",22686,3,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"57",2020,"Never Rarely Sometimes Always","101","Drama","Drama",NA,NA,"7.4",14523,3,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"58",2020,"New Mutants, The","94","Action,Horror,Sci-Fi","Action","Horror","Sci-Fi","5.3",44064,3,1,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"59",2020,"News of the World","118","Action,Adventure,Drama","Action","Adventure","Drama","6.9",23171,3,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
"60",2020,"Nomadland","108","Drama","Drama",NA,NA,"7.6",12988,3,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"61",2020,"Old Guard, The","125","Action,Adventure,Fantasy","Action","Adventure","Fantasy","6.6",127048,3,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"62",2020,"Onward","102","Adventure,Animation,Comedy","Adventure","Animation","Comedy","7.4",101924,3,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"63",2020,"Over the Moon","95","Adventure,Animation,Comedy","Adventure","Animation","Comedy","6.5",11856,1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"64",2020,"Palm Springs","90","Comedy,Fantasy,Mystery","Comedy","Fantasy","Mystery","7.4",78865,3,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"65",2020,"Penguin Bloom","95","Drama","Drama",NA,NA,"6.8",3455,3,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"66",2020,"Phineas and Ferb the Movie: Candace Against the Universe","86","Action,Adventure,Animation","Action","Adventure","Animation","7.2",2889,3,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
"67",2020,"Pieces of a Woman","126","Drama","Drama",NA,NA,"7.1",23868,3,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"68",2020,"Platzspitzbaby","98","Drama","Drama",NA,NA,"7.2",455,3,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"69",2020,"Prom, The","130","Comedy,Drama,Musical","Comedy","Drama","Musical","6.0",20855,3,1,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"70",2020,"Promising Young Woman","113","Crime,Drama,Thriller","Crime","Drama","Thriller","7.5",31503,3,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"71",2020,"Relic","89","Drama,Horror,Mystery","Drama","Horror","Mystery","6.0",16229,3,1,1,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"72",2020,"Rhythm Section, The","109","Action,Drama,Mystery","Action","Drama","Mystery","5.3",12643,2,0,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"73",2020,"Run","90","Horror,Mystery,Thriller","Horror","Mystery","Thriller","6.7",27444,3,1,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
